date,period,decision_time,action,message_type,matched_app_time
2023-10-20,morning,2023-10-20 06:30:00,0,,2023-10-19 17:14:00
2023-10-20,evening,2023-10-20 21:30:00,1,FB-09,2023-10-19 17:14:00
2023-10-21,morning,2023-10-21 08:00:00,1,QA-20,2023-10-19 17:14:00
2023-10-21,evening,2023-10-21 21:30:00,0,,2023-10-19 17:14:00
2023-10-22,morning,2023-10-22 08:00:00,0,,2023-10-19 17:14:00
2023-10-22,evening,2023-10-22 21:30:00,1,RP-20,2023-10-19 17:14:00
2023-10-23,morning,2023-10-23 06:30:00,1,QA-23,2023-10-23 00:44:00
2023-10-23,evening,2023-10-23 21:30:00,0,,2023-10-23 00:44:00
2023-10-24,morning,2023-10-24 06:30:00,0,,2023-10-23 00:44:00
2023-10-24,evening,2023-10-24 21:30:00,0,,2023-10-23 00:44:00
2023-10-25,morning,2023-10-25 06:30:00,1,QA-12,2023-10-23 00:44:00
2023-10-25,evening,2023-10-25 21:30:00,0,,2023-10-25 13:52:00
2023-10-26,morning,2023-10-26 06:30:00,1,QA-06,2023-10-26 02:22:00
2023-10-26,evening,2023-10-26 21:30:00,1,FB-13,2023-10-26 21:30:00
2023-10-27,morning,2023-10-27 06:30:00,0,,2023-10-26 21:30:00
2023-10-27,evening,2023-10-27 21:30:00,1,FB-08,2023-10-26 21:30:00
2023-10-28,morning,2023-10-28 08:00:00,0,,2023-10-27 21:34:00
2023-10-28,evening,2023-10-28 21:30:00,0,,2023-10-28 08:25:00
2023-10-29,morning,2023-10-29 08:00:00,0,,2023-10-29 02:35:00
2023-10-29,evening,2023-10-29 21:30:00,0,,2023-10-29 02:35:00
2023-10-30,morning,2023-10-30 06:30:00,0,,2023-10-29 02:35:00
2023-10-30,evening,2023-10-30 21:30:00,0,,2023-10-29 02:35:00
2023-10-31,morning,2023-10-31 06:30:00,0,,2023-10-31 01:28:00
2023-10-31,evening,2023-10-31 21:30:00,1,SR-42,2023-10-31 01:28:00
2023-11-01,morning,2023-11-01 06:30:00,1,QA-19,2023-10-31 01:28:00
2023-11-01,evening,2023-11-01 21:30:00,0,,2023-10-31 01:28:00
2023-11-02,morning,2023-11-02 06:30:00,1,RP-27,2023-10-31 01:28:00
2023-11-02,evening,2023-11-02 21:30:00,0,,2023-10-31 01:28:00
2023-11-03,morning,2023-11-03 06:30:00,1,QA-26,2023-10-31 01:28:00
2023-11-03,evening,2023-11-03 21:30:00,1,RP-37,2023-11-03 14:05:00
2023-11-04,morning,2023-11-04 08:00:00,0,,2023-11-03 22:11:00
2023-11-04,evening,2023-11-04 21:30:00,0,,2023-11-04 18:25:00
2023-11-05,morning,2023-11-05 08:00:00,0,,2023-11-04 23:25:00
2023-11-05,evening,2023-11-05 21:30:00,0,,2023-11-04 23:25:00
2023-11-06,morning,2023-11-06 06:30:00,1,QA-24,2023-11-06 06:30:00
2023-11-06,evening,2023-11-06 21:30:00,0,,2023-11-06 15:46:00
2023-11-07,morning,2023-11-07 06:30:00,0,,2023-11-06 22:12:00
2023-11-07,evening,2023-11-07 21:30:00,1,SR-05,2023-11-06 22:12:00
2023-11-08,morning,2023-11-08 06:30:00,0,,2023-11-07 23:27:00
2023-11-08,evening,2023-11-08 21:30:00,0,,2023-11-07 23:27:00
2023-11-09,morning,2023-11-09 06:30:00,0,,2023-11-09 03:12:00
2023-11-09,evening,2023-11-09 21:30:00,1,RP-28,2023-11-09 14:48:00
2023-11-10,morning,2023-11-10 06:30:00,0,,2023-11-09 22:53:00
2023-11-10,evening,2023-11-10 21:30:00,0,,2023-11-09 22:53:00
2023-11-11,morning,2023-11-11 08:00:00,0,,2023-11-11 00:38:00
2023-11-11,evening,2023-11-11 21:30:00,1,FB-21,2023-11-11 00:38:00
2023-11-12,morning,2023-11-12 08:00:00,0,,2023-11-11 00:38:00
2023-11-12,evening,2023-11-12 21:30:00,0,,2023-11-12 14:12:00
2023-11-13,morning,2023-11-13 06:30:00,0,,2023-11-12 14:12:00
2023-11-13,evening,2023-11-13 21:30:00,1,RP-49,2023-11-13 21:23:00
2023-11-14,morning,2023-11-14 06:30:00,0,,2023-11-13 22:03:00
2023-11-14,evening,2023-11-14 21:30:00,0,,2023-11-14 08:28:00
2023-11-15,morning,2023-11-15 06:30:00,0,,2023-11-14 08:28:00
2023-11-15,evening,2023-11-15 21:30:00,0,,2023-11-14 08:28:00
2023-11-16,morning,2023-11-16 06:30:00,0,,2023-11-14 08:28:00
2023-11-16,evening,2023-11-16 21:30:00,0,,2023-11-16 10:28:00
2023-11-17,morning,2023-11-17 06:30:00,0,,2023-11-16 22:10:00
2023-11-17,evening,2023-11-17 21:30:00,1,RP-02,2023-11-17 16:10:00
2023-11-18,morning,2023-11-18 08:00:00,0,,2023-11-18 00:04:00
2023-11-18,evening,2023-11-18 21:30:00,0,,2023-11-18 15:59:00
2023-11-19,morning,2023-11-19 08:00:00,0,,2023-11-18 15:59:00
2023-11-19,evening,2023-11-19 21:30:00,0,,2023-11-18 15:59:00
2023-11-20,morning,2023-11-20 06:30:00,0,,2023-11-18 15:59:00
2023-11-20,evening,2023-11-20 21:30:00,1,RP-52,2023-11-20 21:30:00
2023-11-21,morning,2023-11-21 06:30:00,1,SR-40,2023-11-21 00:43:00
2023-11-21,evening,2023-11-21 21:30:00,1,SR-35,2023-11-21 16:43:00
2023-11-22,morning,2023-11-22 06:30:00,1,QA-17,2023-11-21 16:43:00
2023-11-22,evening,2023-11-22 21:30:00,0,,2023-11-21 16:43:00
2023-11-23,morning,2023-11-23 06:30:00,1,QA-01,2023-11-21 16:43:00
2023-11-23,evening,2023-11-23 21:30:00,1,SR-47,2023-11-21 16:43:00
2023-11-24,morning,2023-11-24 06:30:00,0,,2023-11-24 00:55:00
2023-11-24,evening,2023-11-24 21:30:00,0,,2023-11-24 12:37:00
2023-11-25,morning,2023-11-25 08:00:00,1,QA-03,2023-11-24 12:37:00
2023-11-25,evening,2023-11-25 21:30:00,1,FB-19,2023-11-25 11:48:00
2023-11-26,morning,2023-11-26 08:00:00,1,SR-28,2023-11-25 21:38:00
2023-11-26,evening,2023-11-26 21:30:00,1,SR-26,2023-11-26 08:04:00
2023-11-27,morning,2023-11-27 06:30:00,1,RP-36,2023-11-26 08:04:00
2023-11-27,evening,2023-11-27 21:30:00,1,RP-05,2023-11-27 15:05:00
2023-11-28,morning,2023-11-28 06:30:00,1,SR-37,2023-11-27 15:05:00
2023-11-28,evening,2023-11-28 21:30:00,0,,2023-11-27 15:05:00
2023-11-29,morning,2023-11-29 06:30:00,0,,2023-11-27 15:05:00
2023-11-29,evening,2023-11-29 21:30:00,0,,2023-11-27 15:05:00
2023-11-30,morning,2023-11-30 06:30:00,0,,2023-11-27 15:05:00
2023-11-30,evening,2023-11-30 21:30:00,0,,2023-11-27 15:05:00
2023-12-01,morning,2023-12-01 06:30:00,0,,2023-11-27 15:05:00
2023-12-01,evening,2023-12-01 21:30:00,0,,2023-12-01 09:29:00
2023-12-02,morning,2023-12-02 08:00:00,0,,2023-12-01 09:29:00
2023-12-02,evening,2023-12-02 21:30:00,0,,2023-12-02 17:10:00
2023-12-03,morning,2023-12-03 08:00:00,0,,2023-12-02 17:10:00
2023-12-03,evening,2023-12-03 21:30:00,0,,2023-12-02 17:10:00
2023-12-04,morning,2023-12-04 06:30:00,0,,2023-12-04 03:01:00
2023-12-04,evening,2023-12-04 21:30:00,0,,2023-12-04 11:13:00
2023-12-05,morning,2023-12-05 06:30:00,0,,2023-12-05 02:49:00
2023-12-05,evening,2023-12-05 21:30:00,0,,2023-12-05 02:49:00
2023-12-06,morning,2023-12-06 06:30:00,0,,2023-12-05 02:49:00
2023-12-06,evening,2023-12-06 21:30:00,0,,2023-12-05 02:49:00
2023-12-07,morning,2023-12-07 06:30:00,0,,2023-12-07 06:18:00
2023-12-07,evening,2023-12-07 21:30:00,0,,2023-12-07 06:18:00
2023-12-08,morning,2023-12-08 06:30:00,0,,2023-12-07 06:18:00
2023-12-08,evening,2023-12-08 21:30:00,0,,2023-12-07 06:18:00
2023-12-09,morning,2023-12-09 08:00:00,0,,2023-12-07 06:18:00
2023-12-09,evening,2023-12-09 21:30:00,0,,2023-12-07 06:18:00
2023-12-10,morning,2023-12-10 08:00:00,1,SR-49,2023-12-07 06:18:00
2023-12-10,evening,2023-12-10 21:30:00,1,RP-34,2023-12-07 06:18:00
2023-12-11,morning,2023-12-11 06:30:00,0,,2023-12-07 06:18:00
2023-12-11,evening,2023-12-11 21:30:00,1,SR-49,2023-12-07 06:18:00
2023-12-12,morning,2023-12-12 06:30:00,0,,2023-12-07 06:18:00
2023-12-12,evening,2023-12-12 21:30:00,0,,2023-12-07 06:18:00
2023-12-13,morning,2023-12-13 06:30:00,0,,2023-12-13 02:19:00
2023-12-13,evening,2023-12-13 21:30:00,0,,2023-12-13 02:19:00
2023-12-14,morning,2023-12-14 06:30:00,0,,2023-12-14 00:19:00
2023-12-14,evening,2023-12-14 21:30:00,0,,2023-12-14 00:19:00
2023-12-15,morning,2023-12-15 06:30:00,0,,2023-12-14 00:19:00
2023-12-15,evening,2023-12-15 21:30:00,0,,2023-12-14 00:19:00
2023-12-16,morning,2023-12-16 08:00:00,0,,2023-12-14 00:19:00
2023-12-16,evening,2023-12-16 21:30:00,0,,2023-12-14 00:19:00
2023-12-17,morning,2023-12-17 08:00:00,0,,2023-12-14 00:19:00
2023-12-17,evening,2023-12-17 21:30:00,1,SR-26,2023-12-14 00:19:00
2023-12-18,morning,2023-12-18 06:30:00,1,SR-05,2023-12-18 04:53:00
2023-12-18,evening,2023-12-18 21:30:00,0,,2023-12-18 16:09:00
2023-12-19,morning,2023-12-19 06:30:00,0,,2023-12-18 16:09:00
2023-12-19,evening,2023-12-19 21:30:00,0,,2023-12-18 16:09:00
2023-12-20,morning,2023-12-20 06:30:00,0,,2023-12-18 16:09:00
2023-12-20,evening,2023-12-20 21:30:00,1,RP-43,2023-12-18 16:09:00
2023-12-21,morning,2023-12-21 06:30:00,0,,2023-12-20 23:11:00
2023-12-21,evening,2023-12-21 21:30:00,0,,2023-12-21 17:09:00
2023-12-22,morning,2023-12-22 06:30:00,0,,2023-12-22 00:48:00
2023-12-22,evening,2023-12-22 21:30:00,0,,2023-12-22 00:48:00
2023-12-23,morning,2023-12-23 08:00:00,0,,2023-12-22 00:48:00
2023-12-23,evening,2023-12-23 21:30:00,1,FB-05,2023-12-22 00:48:00
2023-12-24,morning,2023-12-24 08:00:00,1,RP-14,2023-12-22 00:48:00
2023-12-24,evening,2023-12-24 21:30:00,1,RP-28,2023-12-22 00:48:00
2023-12-25,morning,2023-12-25 06:30:00,0,,2023-12-25 00:34:00
2023-12-25,evening,2023-12-25 21:30:00,1,SR-11,2023-12-25 00:34:00
2023-12-26,morning,2023-12-26 06:30:00,1,RP-10,2023-12-25 00:34:00
2023-12-26,evening,2023-12-26 21:30:00,1,RP-38,2023-12-25 00:34:00
2023-12-27,morning,2023-12-27 06:30:00,0,,2023-12-25 00:34:00
2023-12-27,evening,2023-12-27 21:30:00,0,,2023-12-25 00:34:00
2023-12-28,morning,2023-12-28 06:30:00,1,SR-22,2023-12-25 00:34:00
2023-12-28,evening,2023-12-28 21:30:00,0,,2023-12-25 00:34:00
2023-12-29,morning,2023-12-29 06:30:00,0,,2023-12-25 00:34:00
2023-12-29,evening,2023-12-29 21:30:00,1,RP-16,2023-12-29 07:00:00
