date,period,decision_time,action,message_type,matched_app_time
2023-11-17,morning,2023-11-17 07:00:00,0,,
2023-11-17,evening,2023-11-17 12:00:00,0,,
2023-11-18,morning,2023-11-18 09:00:00,0,,
2023-11-18,evening,2023-11-18 12:00:00,0,,
2023-11-19,morning,2023-11-19 09:00:00,0,,2023-11-18 13:51:00
2023-11-19,evening,2023-11-19 12:00:00,1,SR-02,2023-11-18 13:51:00
2023-11-20,morning,2023-11-20 07:00:00,1,RP-27,2023-11-18 13:51:00
2023-11-20,evening,2023-11-20 12:00:00,1,FB-26,2023-11-18 13:51:00
2023-11-21,morning,2023-11-21 07:00:00,0,,2023-11-18 13:51:00
2023-11-21,evening,2023-11-21 12:00:00,0,,2023-11-18 13:51:00
2023-11-22,morning,2023-11-22 07:00:00,0,,2023-11-18 13:51:00
2023-11-22,evening,2023-11-22 12:00:00,0,,2023-11-18 13:51:00
2023-11-23,morning,2023-11-23 07:00:00,0,,2023-11-18 13:51:00
2023-11-23,evening,2023-11-23 12:00:00,1,FB-22,2023-11-18 13:51:00
2023-11-24,morning,2023-11-24 07:00:00,1,SR-47,2023-11-18 13:51:00
2023-11-24,evening,2023-11-24 12:00:00,1,RP-25,2023-11-18 13:51:00
2023-11-25,morning,2023-11-25 09:00:00,0,,2023-11-18 13:51:00
2023-11-25,evening,2023-11-25 12:00:00,1,FB-20,2023-11-18 13:51:00
2023-11-26,morning,2023-11-26 09:00:00,1,SR-31,2023-11-25 12:38:00
2023-11-26,evening,2023-11-26 12:00:00,1,RP-47,2023-11-25 12:38:00
2023-11-27,morning,2023-11-27 07:00:00,1,RP-39,2023-11-25 12:38:00
2023-11-27,evening,2023-11-27 12:00:00,0,,2023-11-25 12:38:00
2023-11-28,morning,2023-11-28 07:00:00,0,,2023-11-25 12:38:00
2023-11-28,evening,2023-11-28 12:00:00,0,,2023-11-25 12:38:00
2023-11-29,morning,2023-11-29 07:00:00,1,SR-35,2023-11-25 12:38:00
2023-11-29,evening,2023-11-29 12:00:00,0,,2023-11-25 12:38:00
2023-11-30,morning,2023-11-30 07:00:00,0,,2023-11-25 12:38:00
2023-11-30,evening,2023-11-30 12:00:00,0,,2023-11-25 12:38:00
2023-12-01,morning,2023-12-01 07:00:00,1,SR-48,2023-11-25 12:38:00
2023-12-01,evening,2023-12-01 12:00:00,0,,2023-11-25 12:38:00
2023-12-02,morning,2023-12-02 09:00:00,0,,2023-11-25 12:38:00
2023-12-02,evening,2023-12-02 12:00:00,0,,2023-11-25 12:38:00
2023-12-03,morning,2023-12-03 09:00:00,0,,2023-11-25 12:38:00
2023-12-03,evening,2023-12-03 12:00:00,1,FB-21,2023-11-25 12:38:00
2023-12-04,morning,2023-12-04 07:00:00,0,,2023-12-03 12:26:00
2023-12-04,evening,2023-12-04 12:00:00,0,,2023-12-03 12:26:00
2023-12-05,morning,2023-12-05 07:00:00,0,,2023-12-03 12:26:00
2023-12-05,evening,2023-12-05 12:00:00,0,,2023-12-03 12:26:00
2023-12-06,morning,2023-12-06 07:00:00,0,,2023-12-03 12:26:00
2023-12-06,evening,2023-12-06 12:00:00,1,RP-34,2023-12-06 12:00:00
2023-12-07,morning,2023-12-07 07:00:00,0,,2023-12-06 12:00:00
2023-12-07,evening,2023-12-07 12:00:00,0,,2023-12-06 12:00:00
2023-12-08,morning,2023-12-08 07:00:00,0,,2023-12-06 12:00:00
2023-12-08,evening,2023-12-08 12:00:00,0,,2023-12-06 12:00:00
2023-12-09,morning,2023-12-09 09:00:00,0,,2023-12-06 12:00:00
2023-12-09,evening,2023-12-09 12:00:00,0,,2023-12-06 12:00:00
2023-12-10,morning,2023-12-10 09:00:00,0,,2023-12-06 12:00:00
2023-12-10,evening,2023-12-10 12:00:00,0,,2023-12-06 12:00:00
2023-12-11,morning,2023-12-11 07:00:00,0,,2023-12-06 12:00:00
2023-12-11,evening,2023-12-11 12:00:00,0,,2023-12-11 12:00:00
2023-12-12,morning,2023-12-12 07:00:00,1,RP-34,2023-12-11 12:00:00
2023-12-12,evening,2023-12-12 12:00:00,0,,2023-12-11 12:00:00
2023-12-13,morning,2023-12-13 07:00:00,1,SR-04,2023-12-11 12:00:00
2023-12-13,evening,2023-12-13 12:00:00,1,FB-14,2023-12-11 12:00:00
2023-12-14,morning,2023-12-14 07:00:00,0,,2023-12-11 12:00:00
2023-12-14,evening,2023-12-14 12:00:00,0,,2023-12-11 12:00:00
2023-12-15,morning,2023-12-15 07:00:00,0,,2023-12-11 12:00:00
2023-12-15,evening,2023-12-15 12:00:00,0,,2023-12-11 12:00:00
2023-12-16,morning,2023-12-16 09:00:00,0,,2023-12-11 12:00:00
2023-12-16,evening,2023-12-16 12:00:00,1,SR-36,2023-12-16 11:25:00
2023-12-17,morning,2023-12-17 09:00:00,0,,2023-12-16 11:25:00
2023-12-17,evening,2023-12-17 12:00:00,1,RP-20,2023-12-16 11:25:00
2023-12-18,morning,2023-12-18 07:00:00,0,,2023-12-17 12:03:00
2023-12-18,evening,2023-12-18 12:00:00,0,,2023-12-17 12:03:00
2023-12-19,morning,2023-12-19 07:00:00,0,,2023-12-17 12:03:00
2023-12-19,evening,2023-12-19 12:00:00,0,,2023-12-17 12:03:00
2023-12-20,morning,2023-12-20 07:00:00,0,,2023-12-17 12:03:00
2023-12-20,evening,2023-12-20 12:00:00,1,RP-38,2023-12-17 12:03:00
2023-12-21,morning,2023-12-21 07:00:00,0,,2023-12-17 12:03:00
2023-12-21,evening,2023-12-21 12:00:00,0,,2023-12-17 12:03:00
2023-12-22,morning,2023-12-22 07:00:00,0,,2023-12-17 12:03:00
2023-12-22,evening,2023-12-22 12:00:00,0,,2023-12-17 12:03:00
2023-12-23,morning,2023-12-23 09:00:00,0,,2023-12-17 12:03:00
2023-12-23,evening,2023-12-23 12:00:00,0,,2023-12-17 12:03:00
